# Emoji Keywords — emoji<TAB>kw1 kw2 kw3 ...
#
# Per-emoji search synonyms attached as invisible rofi metadata, alongside
# the cluster aliases in emoji-aliases.txt. Matched by the rofi filter,
# never displayed in the picker rows.
#
# Format
#   <emoji><TAB>keyword<SPACE>keyword<SPACE>...
#
# Notes
#   - Comments start with #. Blank lines ignored.
#   - The same emoji may be repeated; the handler merges all occurrences.
#   - Read by ~/.config/sway/scripts/emoji-modi-handler on every picker launch.
#
# The first 545 entries below were generated from
# /usr/share/oh-my-zsh/plugins/emoji/gemoji_db.json (CLDR aliases + tags,
# deduped against the description and stopwords). Manual additions to
# extend coverage and refine search are appended below the auto block.

# === Auto (gemoji-derived) ===
0️⃣	zero
🇦🇮	ai americas country
🇦🇱	al europe country
🇦🇲	am asia country
🇦🇴	ao africa country
🇦🇶	aq antarctica country
🇦🇷	ar americas country
🇦🇸	as oceania country
🇦🇹	at europe country
🇦🇺	au oceania country
🇦🇼	aw americas country
🇦🇽	ax europe country
🇦🇿	az asia country
🇧🇦	ba europe country
🇧🇧	bb americas country
🇧🇩	bd asia country
🇧🇪	be europe country
🇧🇫	bf africa country
🇧🇬	bg europe country
🇧🇭	bh asia country
🇧🇮	bi africa country
🇧🇯	bj africa country
🇧🇱	bl americas country
🇧🇲	bm americas country
🇧🇳	bn asia country
🇧🇴	bo americas country
🇧🇶	bq americas country
🇧🇷	br americas country
🇧🇸	bs americas country
🇧🇹	bt asia country
🇧🇻	bv antarctica country
🇧🇼	bw africa country
🇧🇾	by europe country
🇧🇿	bz americas country
🇨🇦	ca americas country
🇨🇨	cc oceania country
🇨🇩	cd africa country
🇨🇫	cf africa country
🇨🇬	cg africa country
🇨🇭	ch europe country
🇨🇮	ci africa country
🇨🇰	ck oceania country
🇨🇱	cl americas country
🇨🇲	cm africa country
🇨🇳	cn asia country
🇨🇴	co americas country
🇨🇵	cp oceania country
🇨🇶	cq europe country
🇨🇷	cr americas country
🇨🇺	cu americas country
🇨🇻	cv africa country
🇨🇼	cw americas country
🇨🇽	cx oceania country
🇨🇾	cy asia country
🇨🇿	cz europe country
🇩🇪	de europe country
🇩🇬	dg africa country
🇩🇯	dj africa country
🇩🇰	dk europe country
🇩🇲	dm americas country
🇩🇴	do americas country
🇩🇿	dz africa country
🇪🇦	ea africa country
🇪🇨	ec americas country
🇪🇪	ee europe country
🇪🇬	eg africa country
🇪🇭	eh africa country
🇪🇷	er africa country
🇪🇸	es europe country
🇪🇹	et africa country
🇪🇺	eu europe country
🇫🇮	fi europe country
🇫🇯	fj oceania country
🇫🇰	fk americas country
🇫🇲	fm oceania country
🇫🇴	fo europe country
🇫🇷	fr europe country
🇬🇦	ga africa country
🇬🇧	gb europe country
🇬🇩	gd americas country
🇬🇪	ge asia country
🇬🇫	gf americas country
🇬🇬	gg europe country
🇬🇭	gh africa country
🇬🇮	gi europe country
🇬🇱	gl americas country
🇬🇲	gm africa country
🇬🇳	gn africa country
🇬🇵	gp americas country
🇬🇶	gq africa country
🇬🇷	gr europe country
🇬🇸	gs antarctica country
🇬🇹	gt americas country
🇬🇺	gu oceania country
🇬🇼	gw africa country
🇬🇾	gy americas country
🇭🇰	hk asia country
🇭🇲	hm antarctica country
🇭🇳	hn americas country
🇭🇷	hr europe country
🇭🇹	ht americas country
🇭🇺	hu europe country
🇮🇨	ic africa country
🇮🇩	id asia country
🇮🇪	ie europe country
🇮🇱	il asia country
🇮🇲	im europe country
🇮🇳	in asia country
🇮🇴	io africa country
🇮🇶	iq asia country
🇮🇷	ir asia country
🇮🇸	is europe country
🇮🇹	it europe country
🇯🇪	je europe country
🇯🇲	jm americas country
🇯🇴	jo asia country
🇯🇵	jp asia country
🇰🇪	ke africa country
🇰🇬	kg asia country
🇰🇭	kh asia country
🇰🇮	ki oceania country
🇰🇲	km africa country
🇰🇳	kn americas country
🇰🇵	kp asia country
🇰🇷	kr asia country
🇰🇼	kw asia country
🇰🇾	ky americas country
🇰🇿	kz asia country
🇱🇦	la asia country
🇱🇧	lb asia country
🇱🇨	lc americas country
🇱🇮	li europe country
🇱🇰	lk asia country
🇱🇷	lr africa country
🇱🇸	ls africa country
🇱🇹	lt europe country
🇱🇺	lu europe country
🇱🇻	lv europe country
🇱🇾	ly africa country
🇲🇦	ma africa country
🇲🇨	mc europe country
🇲🇩	md europe country
🇲🇪	me europe country
🇲🇫	mf americas country
🇲🇬	mg africa country
🇲🇭	mh oceania country
🇲🇰	mk europe country
🇲🇱	ml africa country
🇲🇲	mm asia country
🇲🇳	mn asia country
🇲🇴	mo asia country
🇲🇵	mp oceania country
🇲🇶	mq americas country
🇲🇷	mr africa country
🇲🇸	ms americas country
🇲🇹	mt europe country
🇲🇺	mu africa country
🇲🇻	mv asia country
🇲🇼	mw africa country
🇲🇽	mx americas country
🇲🇾	my asia country
🇲🇿	mz africa country
🇳🇦	na africa country
🇳🇨	nc oceania country
🇳🇪	ne africa country
🇳🇫	nf oceania country
🇳🇬	ng africa country
🇳🇮	ni americas country
🇳🇱	nl europe country
🇳🇴	no europe country
🇳🇵	np asia country
🇳🇷	nr oceania country
🇳🇺	nu oceania country
🇳🇿	nz oceania country
🇴🇲	om asia country
🇵🇦	pa americas country
🇵🇪	pe americas country
🇵🇫	pf oceania country
🇵🇬	pg oceania country
🇵🇭	ph asia country
🇵🇰	pk asia country
🇵🇱	pl europe country
🇵🇲	pm americas country
🇵🇳	pn oceania country
🇵🇷	pr americas country
🇵🇸	ps asia country
🇵🇹	pt europe country
🇵🇼	pw oceania country
🇵🇾	py americas country
🇶🇦	qa asia country
🇷🇪	re africa country
🇷🇴	ro europe country
🇷🇸	rs europe country
🇷🇺	ru europe country
🇷🇼	rw africa country
🇸🇦	sa asia country
🇸🇧	sb oceania country
🇸🇨	sc africa country
🇸🇩	sd africa country
🇸🇪	se europe country
🇸🇬	sg asia country
🇸🇭	sh africa country
🇸🇮	si europe country
🇸🇯	sj europe country
🇸🇰	sk europe country
🇸🇱	sl africa country
🇸🇲	sm europe country
🇸🇳	sn africa country
🇸🇴	so africa country
🇸🇷	sr americas country
🇸🇸	ss africa country
🇸🇹	st africa country
🇸🇻	sv americas country
🇸🇽	sx americas country
🇸🇾	sy asia country
🇸🇿	sz africa country
🇹🇦	ta africa country
🇹🇨	tc americas country
🇹🇩	td africa country
🇹🇫	tf africa country
🇹🇬	tg africa country
🇹🇭	th asia country
🇹🇯	tj asia country
🇹🇰	tk oceania country
🇹🇱	tl asia country
🇹🇲	tm asia country
🇹🇳	tn africa country
🇹🇴	to oceania country
🇹🇷	tr asia country
🇹🇹	tt americas country
🇹🇻	tv oceania country
🇹🇼	tw asia country
🇹🇿	tz africa country
🇺🇦	ua europe country
🇺🇬	ug africa country
🇺🇲	um oceania country
🇺🇳	un global country
🇺🇸	us americas country
🇺🇾	uy americas country
🇺🇿	uz asia country
🇻🇦	va europe country
🇻🇨	vc americas country
🇻🇪	ve americas country
🇻🇬	vg americas country
🇻🇮	vi americas country
🇻🇳	vn asia country
🇻🇺	vu oceania country
🇼🇫	wf oceania country
🇼🇸	ws oceania country
🇽🇰	xk europe country
🇾🇪	ye asia country
🇾🇹	yt africa country
🇿🇦	za africa country
🇿🇲	zm africa country
🇿🇼	zw africa country

# --- Batch 9 cont: special non-ISO flags ---
🎌	japan celebration banners
🏳️	surrender peace truce
🏳️‍⚧️	trans pride lgbt
🏴	pirate anarchy mourning
🏴‍☠️	pirate skull crossbones
🏴󠁧󠁢󠁥󠁮󠁧󠁿	england britain stgeorge
🏴󠁧󠁢󠁳󠁣󠁴󠁿	scotland britain saltire
🏴󠁧󠁢󠁷󠁬󠁳󠁿	wales britain dragon
